"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"133","Michael Carter","RB","TEN","9","3.4","5","0.68","17","124","686.5","4","15","0.1","1","1","7","0.0"
"134","Isaac Guerendo","RB","SF","8","3.4","5","0.68","17","154","999.0","3","11","0.1","1","1","9","0.0"
"135","Lan Larison","RB","NE","11","3.4","5","0.68","17","194","999.0","4","15","0.1","1","1","6","0.0"
"136","Frank Gore Jr.","RB","BUF","7","3.3","7","0.47","17","208","999.0","3","13","0.1","1","1","6","0.0"
"137","Brittain Brown","RB","CHI","10","3.3","5","0.65","17","150","999.0","3","14","0.1","1","1","7","0.0"
"138","Dameon Pierce","RB","PHI","10","3.1","5","0.62","17","183","999.0","5","19","0.1","0","0","2","0.0"
"139","Kalel Mullings","RB","TEN","9","3.0","5","0.61","17","126","690.0","5","21","0.1","0","0","2","0.0"
"140","Damien Martinez","RB","GB","11","2.6","5","0.52","17","140","999.0","1","6","0.0","1","1","7","0.0"
"141","Donovan Edwards","RB","MIA","6","2.5","8","0.31","17","89","514.2","2","8","0.1","1","1","6","0.0"
"142","Ahmani Marshall","RB","CLV","11","1.7","5","0.33","17","192","999.0","2","9","0.0","0","0","2","0.0"
"143","Gary Brightwell","RB","CIN","6","1.6","5","0.32","17","91","558.5","0","0","0.0","1","1","7","0.0"
"144","Ulysses Bentley IV","RB","IND","13","1.5","5","0.30","17","84","463.7","2","8","0.0","0","0","2","0.0"
"145","Ben VanSumeren","RB","BUF","7","0.0","0","0.00","17","","2920.0","0","0","0.0","0","0","0","0.0"
"145","Ameer Abdullah","RB","JAX","7","0.0","0","0.00","17","96","612.4","0","0","0.0","0","0","0","0.0"
