name,position,nfl_team,games,pass_yards,pass_td,pass_int,pass_two_pt,rush_yards,rush_td,rush_two_pt,receptions,rec_yards,rec_td,rec_two_pt,fumbles_lost,off_fumble_rec_td,fumble_rec_two_pt,fg_made,xp_made,xp_missed,kick_return_td,punt_return_td,def_sacks,def_int,def_fumble_rec,def_td,def_blocked_fg,def_blocked_punt,def_blocked_xp,def_safeties,points_allowed_per_game,yards_allowed_per_game
Charlie Jones,WR,CIN,5.0,,,,,0.0,0.0,,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
Jeshaun Jones,WR,MIN,5.0,,,,,0.0,0.0,,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
Dontae Fleming,WR,MIN,5.0,,,,,0.0,0.0,,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
Kevin Austin Jr.,WR,NO,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,WR,NYG,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Dayton Wade,WR,BLT,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Jordan Watkins,WR,SF,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Michael Bandy,WR,DEN,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Ricky White III,WR,SEA,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Garrett Greene,WR,TB,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Jared Wayne,WR,HST,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Tyler Scott,WR,LA,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Brock Bowers,TE,LV,15.0,,,,,9.0,0.0,,86.0,916.0,6.3,,,,,,,,,,,,,,,,,,,
Trey McBride,TE,ARZ,15.0,,,,,0.0,0.0,,91.0,776.0,5.6,,,,,,,,,,,,,,,,,,,
Colston Loveland,TE,CHI,15.0,,,,,4.0,0.0,,73.0,796.0,5.5,,,,,,,,,,,,,,,,,,,
Tyler Warren,TE,IND,15.0,,,,,9.0,0.7,,73.0,770.0,4.9,,,,,,,,,,,,,,,,,,,
Kyle Pitts,TE,ATL,15.0,,,,,0.0,0.0,,65.0,750.0,4.2,,,,,,,,,,,,,,,,,,,
Sam LaPorta,TE,DET,14.0,,,,,0.0,0.0,,63.0,697.0,5.1,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr.,TE,CLV,15.0,,,,,12.0,0.2,,68.0,650.0,4.1,,,,,,,,,,,,,,,,,,,
Travis Kelce,TE,KC,15.0,,,,,0.0,0.0,,61.0,707.0,4.4,,,,,,,,,,,,,,,,,,,
Dallas Goedert,TE,PHI,15.0,,,,,0.0,0.0,,63.0,662.0,4.7,,,,,,,,,,,,,,,,,,,
Jake Ferguson,TE,DAL,15.0,,,,,0.0,0.0,,64.0,604.0,5.4,,,,,,,,,,,,,,,,,,,
Tucker Kraft,TE,GB,14.5,,,,,6.0,0.0,,58.0,619.0,5.4,,,,,,,,,,,,,,,,,,,
George Kittle,TE,SF,13.0,,,,,2.0,0.0,,56.0,645.0,5.3,,,,,,,,,,,,,,,,,,,
Mark Andrews,TE,BLT,15.0,,,,,6.0,0.2,,57.0,591.0,5.7,,,,,,,,,,,,,,,,,,,
Juwan Johnson,TE,NO,15.0,,,,,0.0,0.0,,63.0,665.0,3.5,,,,,,,,,,,,,,,,,,,
Brenton Strange,TE,JAX,15.0,,,,,0.0,0.0,,59.0,625.0,4.1,,,,,,,,,,,,,,,,,,,
Dalton Schultz,TE,HST,15.0,,,,,0.0,0.0,,57.0,581.0,3.6,,,,,,,,,,,,,,,,,,,
Dalton Kincaid,TE,BUF,14.5,,,,,0.0,0.0,,52.0,566.0,4.2,,,,,,,,,,,,,,,,,,,
Hunter Henry,TE,NE,15.0,,,,,0.0,0.0,,49.0,556.0,4.6,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,TE,MIN,15.0,,,,,0.0,0.0,,57.0,519.0,3.7,,,,,,,,,,,,,,,,,,,
Isaiah Likely,TE,NYG,15.0,,,,,0.0,0.0,,51.0,554.0,3.4,,,,,,,,,,,,,,,,,,,
Cade Otton,TE,TB,15.0,,,,,0.0,0.0,,56.0,487.0,3.5,,,,,,,,,,,,,,,,,,,
Charlie Kolar,TE,LAC,15.0,,,,,0.0,0.0,,45.0,561.0,3.8,,,,,,,,,,,,,,,,,,,
AJ Barner,TE,SEA,15.0,,,,,10.0,0.5,,41.0,462.0,3.9,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TE,WAS,15.0,,,,,0.0,0.0,,42.0,513.0,2.9,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,TE,PIT,15.0,,,,,0.0,0.0,,43.0,453.0,3.4,,,,,,,,,,,,,,,,,,,
Gunnar Helm,TE,TEN,15.0,,,,,0.0,0.0,,45.0,431.0,3.0,,,,,,,,,,,,,,,,,,,
Evan Engram,TE,DEN,15.0,,,,,3.0,0.0,,46.0,441.0,2.6,,,,,,,,,,,,,,,,,,,
Jonnu Smith,TE,FA,15.0,,,,,48.0,0.9,,35.0,401.0,2.7,,,,,,,,,,,,,,,,,,,
Greg Dulcich,TE,MIA,12.0,,,,,0.0,0.0,,36.0,444.0,2.6,,,,,,,,,,,,,,,,,,,
Michael Mayer,TE,LV,14.0,,,,,0.0,0.0,,37.0,412.0,2.4,,,,,,,,,,,,,,,,,,,
Kenyon Sadiq,TE,NYJ,14.0,,,,,0.0,0.0,,38.0,397.0,2.6,,,,,,,,,,,,,,,,,,,
Colby Parkinson,TE,LA,15.0,,,,,0.0,0.0,,34.0,348.0,3.5,,,,,,,,,,,,,,,,,,,
Mason Taylor,TE,NYJ,15.0,,,,,0.0,0.0,,37.0,357.0,2.6,,,,,,,,,,,,,,,,,,,
Mike Gesicki,TE,CIN,15.0,,,,,0.0,0.0,,36.0,344.0,2.8,,,,,,,,,,,,,,,,,,,
Theo Johnson,TE,NYG,14.0,,,,,0.0,0.0,,32.0,358.0,2.6,,,,,,,,,,,,,,,,,,,
Cole Kmet,TE,CHI,15.0,,,,,0.0,0.0,,34.0,325.0,2.6,,,,,,,,,,,,,,,,,,,
Darnell Washington,TE,PIT,15.0,,,,,0.0,0.0,,33.0,342.0,2.4,,,,,,,,,,,,,,,,,,,
Dawson Knox,TE,BUF,15.0,,,,,0.0,0.0,,26.0,336.0,3.1,,,,,,,,,,,,,,,,,,,
David Njoku,TE,LAC,14.0,,,,,0.0,0.0,,28.0,283.0,2.2,,,,,,,,,,,,,,,,,,,
Tyler Higbee,TE,LA,14.0,,,,,0.0,0.0,,27.0,267.0,2.3,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,TE,LA,15.0,,,,,0.0,0.0,,23.0,279.0,2.5,,,,,,,,,,,,,,,,,,,
Darren Waller,TE,CAR,11.0,,,,,0.0,0.0,,27.0,273.0,1.8,,,,,,,,,,,,,,,,,,,
Noah Gray,TE,KC,15.0,,,,,0.0,0.0,,28.0,255.0,1.5,,,,,,,,,,,,,,,,,,,
Noah Fant,TE,NO,15.0,,,,,0.0,0.0,,26.0,267.0,1.5,,,,,,,,,,,,,,,,,,,
Oronde Gadsden II,TE,LAC,15.0,,,,,0.0,0.0,,23.0,267.0,1.8,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,TE,SEA,15.0,,,,,0.0,0.0,,24.0,239.0,1.5,,,,,,,,,,,,,,,,,,,
Oscar Delp,TE,NO,15.0,,,,,0.0,0.0,,24.0,231.0,1.4,,,,,,,,,,,,,,,,,,,
Daniel Bellinger,TE,TEN,15.0,,,,,0.0,0.0,,24.0,225.0,1.4,,,,,,,,,,,,,,,,,,,
Elijah Higgins,TE,ARZ,15.0,,,,,0.0,0.0,,21.0,261.0,1.1,,,,,,,,,,,,,,,,,,,
Jake Tonges,TE,SF,15.0,,,,,0.0,0.0,,19.0,209.0,2.0,,,,,,,,,,,,,,,,,,,
Austin Hooper,TE,ATL,15.0,,,,,0.0,0.0,,20.0,215.0,1.3,,,,,,,,,,,,,,,,,,,
Tanner Hudson,TE,CIN,15.0,,,,,0.0,0.0,,18.0,210.0,1.5,,,,,,,,,,,,,,,,,,,
Drew Sample,TE,CIN,15.0,,,,,0.0,0.0,,22.0,178.0,1.2,,,,,,,,,,,,,,,,,,,
Eli Raridon,TE,NE,15.0,,,,,0.0,0.0,,19.0,161.0,1.5,,,,,,,,,,,,,,,,,,,
Josh Whyle,TE,GB,15.0,,,,,0.0,0.0,,18.0,162.0,1.4,,,,,,,,,,,,,,,,,,,
Tommy Tremble,TE,CAR,14.0,,,,,0.0,0.0,,18.0,166.0,1.2,,,,,,,,,,,,,,,,,,,
Josh Oliver,TE,MIN,15.0,,,,,0.0,0.0,,18.0,164.0,1.3,,,,,,,,,,,,,,,,,,,
Will Kacmarek,TE,MIA,15.0,,,,,0.0,0.0,,17.0,163.0,1.4,,,,,,,,,,,,,,,,,,,
Joe Royer,TE,CLV,15.0,,,,,0.0,0.0,,16.0,150.0,1.3,,,,,,,,,,,,,,,,,,,
Cade Stover,TE,HST,15.0,,,,,0.0,0.0,,20.0,127.0,1.0,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,TE,CAR,15.0,,,,,0.0,0.0,,17.0,150.0,1.0,,,,,,,,,,,,,,,,,,,
Adam Trautman,TE,DEN,15.0,,,,,0.0,0.0,,13.0,151.0,1.1,,,,,,,,,,,,,,,,,,,
Luke Schoonmaker,TE,DAL,15.0,,,,,0.0,0.0,,14.0,134.0,1.1,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,TE,IND,15.0,,,,,0.0,0.0,,14.0,132.0,1.2,,,,,,,,,,,,,,,,,,,
Brock Wright,TE,DET,15.0,,,,,0.0,0.0,,15.0,121.0,1.1,,,,,,,,,,,,,,,,,,,
Ben Sinnott,TE,WAS,15.0,,,,,0.0,0.0,,13.0,125.0,1.2,,,,,,,,,,,,,,,,,,,
Max Klare,TE,LA,15.0,,,,,0.0,0.0,,13.0,128.0,1.1,,,,,,,,,,,,,,,,,,,
Eli Stowers,TE,PHI,15.0,,,,,0.0,0.0,,13.0,122.0,1.1,,,,,,,,,,,,,,,,,,,
Luke Musgrave,TE,GB,10.0,,,,,0.0,0.0,,14.0,129.0,0.7,,,,,,,,,,,,,,,,,,,
Mitchell Evans,TE,CAR,15.0,,,,,0.0,0.0,,13.0,128.0,0.8,,,,,,,,,,,,,,,,,,,
Tip Reiman,TE,ARZ,15.0,,,,,0.0,0.0,,11.0,136.0,1.0,,,,,,,,,,,,,,,,,,,
Nate Boerkircher,TE,JAX,15.0,,,,,0.0,0.0,,12.0,120.0,1.0,,,,,,,,,,,,,,,,,,,
Matthew Hibner,TE,BLT,15.0,,,,,0.0,0.0,,12.0,119.0,1.0,,,,,,,,,,,,,,,,,,,
John Bates,TE,WAS,15.0,,,,,0.0,0.0,,12.0,111.0,1.0,,,,,,,,,,,,,,,,,,,
Durham Smythe,TE,BLT,15.0,,,,,0.0,0.0,,11.0,120.0,0.8,,,,,,,,,,,,,,,,,,,
Marlin Klein,TE,HST,15.0,,,,,0.0,0.0,,13.0,92.0,0.8,,,,,,,,,,,,,,,,,,,
Erick All,TE,CIN,8.0,,,,,0.0,0.0,,10.0,114.0,0.9,,,,,,,,,,,,,,,,,,,
Jeremy Ruckert,TE,NYJ,15.0,,,,,0.0,0.0,,12.0,107.0,0.6,,,,,,,,,,,,,,,,,,,
Johnny Mundt,TE,PHI,15.0,,,,,4.0,0.0,,12.0,88.0,0.7,,,,,,,,,,,,,,,,,,,
Sam Roush,TE,CHI,15.0,,,,,0.0,0.0,,12.0,91.0,0.8,,,,,,,,,,,,,,,,,,,
Josh Cuevas,TE,BLT,14.0,,,,,0.0,0.0,,11.0,83.0,1.0,,,,,,,,,,,,,,,,,,,
Tyler Conklin,TE,DET,15.0,,,,,0.0,0.0,,10.0,102.0,0.5,,,,,,,,,,,,,,,,,,,
Seydou Traore,TE,MIA,15.0,,,,,0.0,0.0,,8.0,97.0,0.8,,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,TE,DAL,15.0,,,,,0.0,0.0,,8.0,72.0,0.8,,,,,,,,,,,,,,,,,,,
Riley Nowakowski,TE,PIT,15.0,,,,,0.0,0.0,,7.0,88.0,0.6,,,,,,,,,,,,,,,,,,,
Ben Sims,TE,MIA,15.0,,,,,0.0,0.0,,8.0,74.0,0.5,,,,,,,,,,,,,,,,,,,
Jackson Hawes,TE,BUF,14.0,,,,,0.0,0.0,,6.0,79.0,0.8,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,TE,IND,15.0,,,,,0.0,0.0,,6.0,74.0,0.7,,,,,,,,,,,,,,,,,,,
Ben Yurosek,TE,MIN,15.0,,,,,0.0,0.0,,11.0,43.0,0.5,,,,,,,,,,,,,,,,,,,
Charlie Woerner,TE,ATL,15.0,,,,,0.0,0.0,,6.0,84.0,0.5,,,,,,,,,,,,,,,,,,,
Justin Joly,TE,DEN,15.0,,,,,0.0,0.0,,7.0,68.0,0.5,,,,,,,,,,,,,,,,,,,
Eric Saubert,TE,SEA,15.0,,,,,0.0,0.0,,7.0,65.0,0.5,,,,,,,,,,,,,,,,,,,
Julian Hill,TE,NE,15.0,,,,,0.0,0.0,,6.0,65.0,0.5,,,,,,,,,,,,,,,,,,,
Davis Allen,TE,LA,15.0,,,,,0.0,0.0,,6.0,54.0,0.6,,,,,,,,,,,,,,,,,,,
Kylen Granson,TE,TEN,15.0,,,,,0.0,0.0,,7.0,55.0,0.5,,,,,,,,,,,,,,,,,,,
Luke Farrell,TE,SF,15.0,,,,,0.0,0.0,,6.0,64.0,0.5,,,,,,,,,,,,,,,,,,,
Jack Stoll,TE,CLV,15.0,,,,,0.0,0.0,,6.0,57.0,0.6,,,,,,,,,,,,,,,,,,,
Tanner Koziol,TE,JAX,15.0,,,,,0.0,0.0,,5.0,54.0,0.5,,,,,,,,,,,,,,,,,,,
Ian Thomas,TE,LV,14.0,,,,,0.0,0.0,,7.0,46.0,0.2,,,,,,,,,,,,,,,,,,,
Nate Adkins,TE,DEN,14.0,,,,,0.0,0.0,,5.0,45.0,0.5,,,,,,,,,,,,,,,,,,,
Foster Moreau,TE,HST,14.0,,,,,0.0,0.0,,5.0,42.0,0.3,,,,,,,,,,,,,,,,,,,
Payne Durham,TE,TB,15.0,,,,,0.0,0.0,,4.0,40.0,0.4,,,,,,,,,,,,,,,,,,,
Hunter Long,TE,JAX,14.0,,,,,0.0,0.0,,4.0,36.0,0.4,,,,,,,,,,,,,,,,,,,
Grant Calcaterra,TE,PHI,15.0,,,,,4.0,0.0,,3.0,35.0,0.3,,,,,,,,,,,,,,,,,,,
Will Mallory,TE,IND,7.0,,,,,0.0,0.0,,3.0,39.0,0.2,,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,TE,ARZ,10.0,,,,,0.0,0.0,,3.0,33.0,0.3,,,,,,,,,,,,,,,,,,,
Jack Westover,TE,NE,15.0,,,,,0.0,0.0,,4.0,20.0,0.4,,,,,,,,,,,,,,,,,,,
Drake Dabney,TE,GB,7.0,,,,,2.0,0.0,,2.0,28.0,0.3,,,,,,,,,,,,,,,,,,,
Jared Wiley,TE,KC,10.0,,,,,0.0,0.0,,3.0,29.0,0.3,,,,,,,,,,,,,,,,,,,
Albert Okwuegbunam,TE,LV,5.0,,,,,0.0,0.0,,3.0,28.0,0.2,,,,,,,,,,,,,,,,,,,
Keleki Latu,TE,BUF,10.0,,,,,0.0,0.0,,2.0,23.0,0.2,,,,,,,,,,,,,,,,,,,
Colson Yankoff,TE,WAS,14.0,,,,,0.0,0.0,,2.0,19.0,0.2,,,,,,,,,,,,,,,,,,,
David Martin-Robinson,TE,TEN,15.0,,,,,0.0,0.0,,3.0,15.0,0.2,,,,,,,,,,,,,,,,,,,
Jelani Woods,TE,NYJ,10.0,,,,,0.0,0.0,,2.0,22.0,0.1,,,,,,,,,,,,,,,,,,,
Joshua Simon,TE,ATL,10.0,,,,,0.0,0.0,,1.0,27.0,0.2,,,,,,,,,,,,,,,,,,,
Thomas Fidone II,TE,NYG,5.0,,,,,0.0,0.0,,1.0,17.0,0.1,,,,,,,,,,,,,,,,,,,
Quintin Morris,TE,JAX,5.0,,,,,0.0,0.0,,1.0,12.0,0.2,,,,,,,,,,,,,,,,,,,
Chris Manhertz,TE,NYG,15.0,,,,,0.0,0.0,,1.0,11.0,0.1,,,,,,,,,,,,,,,,,,,
Gavin Bartholomew,TE,MIN,10.0,,,,,0.0,0.0,,1.0,13.0,0.1,,,,,,,,,,,,,,,,,,,
Cameron Latu,TE,PHI,15.0,,,,,4.0,0.0,,1.0,8.0,0.1,,,,,,,,,,,,,,,,,,,
Messiah Swinson,TE,GB,7.0,,,,,0.0,0.0,,1.0,12.0,0.1,,,,,,,,,,,,,,,,,,,
Devin Culp,TE,TB,7.0,,,,,0.0,0.0,,1.0,13.0,0.1,,,,,,,,,,,,,,,,,,,
Jake Briningstool,TE,KC,5.0,,,,,0.0,0.0,,1.0,9.0,0.1,,,,,,,,,,,,,,,,,,,
Stephen Carlson,TE,CHI,10.0,,,,,0.0,0.0,,1.0,12.0,0.1,,,,,,,,,,,,,,,,,,,
CJ Dippre,TE,NE,5.0,,,,,0.0,0.0,,1.0,9.0,0.1,,,,,,,,,,,,,,,,,,,
Cam Grandy,TE,CIN,5.0,,,,,0.0,0.0,,1.0,9.0,0.1,,,,,,,,,,,,,,,,,,,
Brayden Willis,TE,SF,5.0,,,,,0.0,0.0,,1.0,8.0,0.1,,,,,,,,,,,,,,,,,,,
Zaire Mitchell-Paden,TE,NO,7.0,,,,,0.0,0.0,,1.0,6.0,0.1,,,,,,,,,,,,,,,,,,,
Nick Kallerup,TE,SEA,10.0,,,,,0.0,0.0,,1.0,7.0,0.1,,,,,,,,,,,,,,,,,,,
Hayden Rucci,TE,SF,5.0,,,,,0.0,0.0,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
Ko Kieft,TE,TB,7.0,,,,,0.0,0.0,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
Lawrence Cager,TE,WAS,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Moliki Matavao,TE,NO,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Brevin Jordan,TE,HST,10.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Feleipe Franks,TE,CAR,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Rivaldo Fairweather,TE,ARZ,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Bauer Sharp,TE,TB,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Lucas Krull,TE,DEN,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Brandon Aubrey,K,DAL,17.0,,,,,,,,,,,,,,,31.0,43.9,1.8,,,,,,,,,,,,
Jake Bates,K,DET,17.0,,,,,,,,,,,,,,,29.3,47.7,2.0,,,,,,,,,,,,
Harrison Mevis,K,LA,17.0,,,,,,,,,,,,,,,28.6,47.2,1.5,,,,,,,,,,,,
Cairo Santos,K,CHI,17.0,,,,,,,,,,,,,,,30.7,39.0,1.8,,,,,,,,,,,,
Jason Myers,K,SEA,17.0,,,,,,,,,,,,,,,30.7,38.5,1.5,,,,,,,,,,,,
Eddy Pineiro,K,SF,17.0,,,,,,,,,,,,,,,29.6,41.8,2.3,,,,,,,,,,,,
Tyler Bass,K,BUF,17.0,,,,,,,,,,,,,,,28.0,46.7,2.2,,,,,,,,,,,,
Ka'imi Fairbairn,K,HST,17.0,,,,,,,,,,,,,,,31.7,35.4,1.6,,,,,,,,,,,,
Cameron Dicker,K,LAC,17.0,,,,,,,,,,,,,,,30.7,38.2,1.6,,,,,,,,,,,,
Spencer Shrader,K,IND,17.0,,,,,,,,,,,,,,,29.4,41.9,1.3,,,,,,,,,,,,
Tyler Loop,K,BLT,17.0,,,,,,,,,,,,,,,29.3,42.0,1.8,,,,,,,,,,,,
Harrison Butker,K,KC,17.0,,,,,,,,,,,,,,,30.1,39.2,1.6,,,,,,,,,,,,
Cam Little,K,JAX,17.0,,,,,,,,,,,,,,,29.0,41.8,1.4,,,,,,,,,,,,
Trey Smack,K,GB,17.0,,,,,,,,,,,,,,,28.9,41.1,1.9,,,,,,,,,,,,
Chase McLaughlin,K,TB,17.0,,,,,,,,,,,,,,,30.0,37.6,1.4,,,,,,,,,,,,
Jake Elliott,K,PHI,17.0,,,,,,,,,,,,,,,28.5,42.0,1.6,,,,,,,,,,,,
Nick Folk,K,ATL,17.0,,,,,,,,,,,,,,,30.9,34.4,1.7,,,,,,,,,,,,
Evan McPherson,K,CIN,17.0,,,,,,,,,,,,,,,27.9,43.3,1.8,,,,,,,,,,,,
Wil Lutz,K,DEN,17.0,,,,,,,,,,,,,,,29.4,37.3,1.3,,,,,,,,,,,,
Will Reichard,K,MIN,17.0,,,,,,,,,,,,,,,29.7,35.6,1.1,,,,,,,,,,,,
Charlie Smyth,K,NO,17.0,,,,,,,,,,,,,,,30.5,33.1,1.2,,,,,,,,,,,,
Andy Borregales,K,NE,17.0,,,,,,,,,,,,,,,27.9,40.0,1.6,,,,,,,,,,,,
Drew Stevens,K,WAS,17.0,,,,,,,,,,,,,,,28.6,35.0,1.6,,,,,,,,,,,,
Chris Boswell,K,PIT,17.0,,,,,,,,,,,,,,,28.4,35.1,1.3,,,,,,,,,,,,
Chad Ryland,K,ARZ,17.0,,,,,,,,,,,,,,,28.3,35.3,1.3,,,,,,,,,,,,
Dominic Zvada,K,NYG,17.0,,,,,,,,,,,,,,,27.4,35.7,1.7,,,,,,,,,,,,
Matt Gay,K,LV,17.0,,,,,,,,,,,,,,,27.7,34.7,1.2,,,,,,,,,,,,
Joey Slye,K,TEN,17.0,,,,,,,,,,,,,,,29.3,29.2,1.7,,,,,,,,,,,,
Cade York,K,NYJ,17.0,,,,,,,,,,,,,,,27.6,32.1,0.2,,,,,,,,,,,,
Riley Patterson,K,MIA,17.0,,,,,,,,,,,,,,,27.8,30.5,1.2,,,,,,,,,,,,
Ryan Fitzgerald,K,CAR,17.0,,,,,,,,,,,,,,,27.1,30.9,2.1,,,,,,,,,,,,
Andre Szmyt,K,CLV,17.0,,,,,,,,,,,,,,,27.3,29.1,1.3,,,,,,,,,,,,
Houston,DST,HST,17.0,,,,,,,,,,,,,,,,,,0.0,,45.0,14.4,8.9,1.9,,,,,,
L.A. Rams,DST,LA,17.0,,,,,,,,,,,,,,,,,,0.0,,45.3,14.3,8.7,1.9,,,,,,
Seattle,DST,SEA,17.0,,,,,,,,,,,,,,,,,,0.0,,45.6,13.4,8.9,1.8,,,,,,
Denver,DST,DEN,17.0,,,,,,,,,,,,,,,,,,0.0,,45.6,13.2,8.8,1.8,,,,,,
Philadelphia,DST,PHI,17.0,,,,,,,,,,,,,,,,,,0.0,,44.6,13.5,8.8,1.8,,,,,,
Jacksonville,DST,JAX,17.0,,,,,,,,,,,,,,,,,,0.0,,44.9,13.4,8.7,1.8,,,,,,
Minnesota,DST,MIN,17.0,,,,,,,,,,,,,,,,,,0.0,,42.4,13.5,8.7,1.8,,,,,,
New England,DST,NE,17.0,,,,,,,,,,,,,,,,,,0.0,,43.2,12.9,8.8,1.8,,,,,,
Kansas City,DST,KC,17.0,,,,,,,,,,,,,,,,,,0.0,,42.2,13.3,8.8,1.8,,,,,,
Green Bay,DST,GB,17.0,,,,,,,,,,,,,,,,,,0.0,,43.1,12.7,8.6,1.7,,,,,,
L.A. Chargers,DST,LAC,17.0,,,,,,,,,,,,,,,,,,0.0,,42.2,12.9,8.7,1.8,,,,,,
Pittsburgh,DST,PIT,17.0,,,,,,,,,,,,,,,,,,0.0,,41.7,13.1,8.5,1.8,,,,,,
New Orleans,DST,NO,17.0,,,,,,,,,,,,,,,,,,0.0,,41.5,13.2,8.5,1.8,,,,,,
Baltimore,DST,BLT,17.0,,,,,,,,,,,,,,,,,,0.0,,41.3,13.0,8.5,1.7,,,,,,
Buffalo,DST,BUF,17.0,,,,,,,,,,,,,,,,,,0.0,,42.6,12.2,8.6,1.7,,,,,,
Carolina,DST,CAR,17.0,,,,,,,,,,,,,,,,,,0.0,,41.1,12.8,8.5,1.7,,,,,,
Indianapolis,DST,IND,17.0,,,,,,,,,,,,,,,,,,0.0,,42.2,12.3,8.4,1.7,,,,,,
San Francisco,DST,SF,17.0,,,,,,,,,,,,,,,,,,0.0,,41.2,12.5,8.6,1.7,,,,,,
Atlanta,DST,ATL,17.0,,,,,,,,,,,,,,,,,,0.0,,41.3,12.3,8.5,1.7,,,,,,
Detroit,DST,DET,17.0,,,,,,,,,,,,,,,,,,0.0,,40.4,12.1,8.4,1.7,,,,,,
Tampa Bay,DST,TB,17.0,,,,,,,,,,,,,,,,,,0.0,,39.5,12.2,8.4,1.7,,,,,,
N.Y. Giants,DST,NYG,17.0,,,,,,,,,,,,,,,,,,0.0,,39.1,12.1,8.3,1.7,,,,,,
Chicago,DST,CHI,17.0,,,,,,,,,,,,,,,,,,0.0,,38.0,12.3,8.4,1.7,,,,,,
Washington,DST,WAS,17.0,,,,,,,,,,,,,,,,,,0.0,,38.7,11.9,8.3,1.6,,,,,,
Las Vegas,DST,LV,17.0,,,,,,,,,,,,,,,,,,0.0,,38.3,11.6,8.3,1.6,,,,,,
Miami,DST,MIA,17.0,,,,,,,,,,,,,,,,,,0.0,,38.4,11.4,8.4,1.6,,,,,,
Cleveland,DST,CLV,17.0,,,,,,,,,,,,,,,,,,0.0,,37.7,11.2,8.5,1.6,,,,,,
Tennessee,DST,TEN,17.0,,,,,,,,,,,,,,,,,,0.0,,37.5,11.3,8.2,1.6,,,,,,
Dallas,DST,DAL,17.0,,,,,,,,,,,,,,,,,,0.0,,37.1,11.2,8.0,1.6,,,,,,
Cincinnati,DST,CIN,17.0,,,,,,,,,,,,,,,,,,0.0,,36.5,11.2,8.1,1.6,,,,,,
Arizona,DST,ARZ,17.0,,,,,,,,,,,,,,,,,,0.0,,35.8,10.8,8.1,1.5,,,,,,
N.Y. Jets,DST,NYJ,17.0,,,,,,,,,,,,,,,,,,0.0,,35.2,10.4,8.1,1.5,,,,,,
