name,position,nfl_team,games,pass_yards,pass_td,pass_int,pass_two_pt,rush_yards,rush_td,rush_two_pt,receptions,rec_yards,rec_td,rec_two_pt,fumbles_lost,off_fumble_rec_td,fumble_rec_two_pt,fg_made,xp_made,xp_missed,kick_return_td,punt_return_td,def_sacks,def_int,def_fumble_rec,def_td,def_blocked_fg,def_blocked_punt,def_blocked_xp,def_safeties,points_allowed_per_game,yards_allowed_per_game
Andy Dalton,QB,PHI,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Jalen Milroe,QB,SEA,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Dillon Gabriel,QB,CLV,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Mason Rudolph,QB,PIT,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,RB,DET,15.0,,,,,1353.0,13.5,,65.0,479.0,3.2,,,,,,,,,,,,,,,,,,,
Bijan Robinson,RB,ATL,15.0,,,,,1370.0,9.7,,67.0,587.0,3.1,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,RB,IND,15.0,,,,,1372.0,13.7,,47.0,346.0,1.9,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,RB,SF,14.5,,,,,981.0,8.4,,66.0,547.0,4.6,,,,,,,,,,,,,,,,,,,
James Cook,RB,BUF,15.0,,,,,1367.0,10.5,,34.0,307.0,1.8,,,,,,,,,,,,,,,,,,,
De'Von Achane,RB,MIA,15.0,,,,,1198.0,6.1,,59.0,416.0,2.7,,,,,,,,,,,,,,,,,,,
Saquon Barkley,RB,PHI,15.0,,,,,1288.0,9.9,,41.0,292.0,1.8,,,,,,,,,,,,,,,,,,,
Kenneth Walker III,RB,KC,15.0,,,,,1085.0,9.5,,39.0,306.0,1.7,,,,,,,,,,,,,,,,,,,
Derrick Henry,RB,BLT,15.0,,,,,1364.0,12.4,,16.0,158.0,0.4,,,,,,,,,,,,,,,,,,,
Chase Brown,RB,CIN,15.0,,,,,892.0,6.6,,55.0,387.0,2.8,,,,,,,,,,,,,,,,,,,
