name,position,nfl_team,adp,times_drafted,trials,drafted_pct
Chris Oladokun,QB,KC,171.0,5,100,5.0
Cairo Santos,K,CHI,171.7,100,100,100.0
Jayden Reed,WR,GB,171.7,99,100,99.0
Samaje Perine,RB,CIN,172.2,93,100,93.0
Atlanta,DST,Atlanta,172.6,100,100,100.0
Mitch Trubisky,QB,TEN,172.7,26,100,26.0
Cole Payton,QB,PHI,173.7,19,100,19.0
Harrison Butker,K,KC,174.3,100,100,100.0
Keaton Mitchell,RB,LAC,174.7,86,100,86.0
Jacksonville,DST,Jacksonville,175.3,99,100,99.0
Desmond Ridder,QB,GB,175.7,14,100,14.0
Harrison Mevis,K,LAR,176.3,100,100,100.0
Xavier Worthy,WR,KC,176.4,99,100,99.0
Colby Parkinson,TE,LAR,177.7,65,100,65.0
Dylan Sampson,RB,CLE,177.9,81,100,81.0
Baltimore,DST,Baltimore,178.3,99,100,99.0
Eddy Pineiro,K,SF,178.5,100,100,100.0
Joe Flacco,QB,CIN,179.3,3,100,3.0
Will Reichard,K,MIN,180.1,99,100,99.0
New England,DST,New England,180.8,97,100,97.0
Braelon Allen,RB,NYJ,181.1,74,100,74.0
Michael Wilson,WR,ARI,181.9,98,100,98.0
Wil Lutz,K,DEN,182.2,99,100,99.0
Cleveland,DST,Cleveland,182.8,91,100,91.0
Tyler Loop,K,BAL,183.4,95,100,95.0
T.J. Hockenson,TE,MIN,184.0,55,100,55.0
Spencer Shrader,K,IND,184.9,93,100,93.0
De'Zhaun Stribling,WR,SF,186.1,97,100,97.0
Chicago,DST,Chicago,186.2,90,100,90.0
Aidan O'Connell,QB,LV,186.7,3,100,3.0
Cam Little,K,JAC,187.0,93,100,93.0
Tyrone Tracy Jr.,RB,NYG,187.4,73,100,73.0
Cincinnati,DST,Cincinnati,187.8,85,100,85.0
Cade Otton,TE,TB,187.8,27,100,27.0
Juwan Johnson,TE,NO,187.9,16,100,16.0
Nick Folk,K,ATL,188.3,86,100,86.0
Evan McPherson,K,CIN,189.5,81,100,81.0
Dalton Schultz,TE,HOU,190.2,43,100,43.0
Tampa Bay,DST,Tampa Bay,190.3,83,100,83.0
Zach Charbonnet,RB,SEA,190.4,68,100,68.0
Trey Smack,K,GB,190.7,73,100,73.0
Calvin Ridley,WR,TEN,191.6,97,100,97.0
Tyler Bass,K,BUF,191.7,64,100,64.0
Green Bay,DST,Green Bay,192.4,75,100,75.0
Riley Patterson,K,MIA,193.0,1,100,1.0
Jason Sanders,K,NYJ,193.3,24,100,24.0
Charlie Smyth,K,NO,193.4,56,100,56.0
Andy Borregales,K,NE,193.7,40,100,40.0
Andres Borregales,K,NE,193.7,18,100,18.0
Matt Gay,K,LV,194.0,1,100,1.0
Indianapolis,DST,Indianapolis,194.1,68,100,68.0
Ty Johnson,RB,BUF,194.1,62,100,62.0
Jake Elliott,K,PHI,194.5,14,100,14.0
Drew Stevens,K,WAS,194.7,9,100,9.0
Chris Boswell,K,PIT,194.8,6,100,6.0
Chad Ryland,K,ARI,195.0,4,100,4.0
Joey Slye,K,TEN,195.0,3,100,3.0
Omar Cooper Jr.,WR,NYJ,195.3,95,100,95.0
Kansas City,DST,Kansas City,195.6,61,100,61.0
San Francisco,DST,San Francisco,196.2,4,100,4.0
Arizona,DST,Arizona,196.3,3,100,3.0
Tennessee,DST,Tennessee,196.4,51,100,51.0
Mason Taylor,TE,NYJ,196.8,5,100,5.0
Mike Gesicki,TE,CIN,197.1,14,100,14.0
Carolina,DST,Carolina,197.6,13,100,13.0
Las Vegas,DST,Las Vegas,197.9,8,100,8.0
Adonai Mitchell,WR,NYJ,197.9,92,100,92.0
Pittsburgh,DST,Pittsburgh,198.0,2,100,2.0
Detroit,DST,Detroit,198.0,1,100,1.0
N.Y. Giants,DST,N.Y. Giants,198.3,40,100,40.0
Miami,DST,Miami,198.5,26,100,26.0
Alvin Kamara,RB,NO,198.6,56,100,56.0
Ryan Fitzgerald,K,CAR,199.0,1,100,1.0
Jerome Ford,RB,WAS,199.0,45,100,45.0
Carlos Washington Jr.,RB,MIA,199.7,26,100,26.0
Gunnar Helm,TE,TEN,200.4,11,100,11.0
Deebo Samuel,WR,SF,200.5,88,100,88.0
N.Y. Jets,DST,N.Y. Jets,201.0,3,100,3.0
Jaylen Wright,RB,MIA,202.6,39,100,39.0
Khalil Shakir,WR,BUF,202.8,86,100,86.0
Elijah Mitchell,RB,PHI,202.8,24,100,24.0
Oronde Gadsden II,TE,LAC,203.0,2,100,2.0
Dillon Gabriel,QB,CLV,203.5,2,100,2.0
Caleb Douglas,WR,MIA,204.5,81,100,81.0
Trayveon Williams,RB,DET,205.0,21,100,21.0
Deuce Vaughn,RB,DEN,206.1,16,100,16.0
Tre Tucker,WR,LV,206.5,74,100,74.0
Austin Ekeler,RB,WAS,207.2,13,100,13.0
Stetson Bennett,QB,LA,208.0,2,100,2.0
Emanuel Wilson,RB,SEA,209.0,1,100,1.0
Jalen McMillan,WR,TB,209.1,73,100,73.0
Jordan James,RB,SF,209.1,9,100,9.0
Jonah Coleman,RB,DEN,209.4,5,100,5.0
Jaydon Blue,RB,DAL,209.6,7,100,7.0
Keenan Allen,WR,IND,211.0,67,100,67.0
Jakobi Meyers,WR,JAC,211.5,57,100,57.0
Troy Franklin,WR,DEN,212.4,41,100,41.0
Elic Ayomanor,WR,TEN,212.6,52,100,52.0
Ameer Abdullah,RB,JAX,213.0,4,100,4.0
Ben VanSumeren,RB,BUF,213.0,3,100,3.0
Makai Lemon,WR,PHI,213.1,35,100,35.0
Michael Penix Jr.,QB,ATL,213.5,2,100,2.0
David Njoku,TE,LAC,214.0,2,100,2.0
Tyquan Thornton,WR,KC,214.4,9,100,9.0
Devaughn Vele,WR,NO,214.6,30,100,30.0
Rashid Shaheed,WR,SEA,214.6,17,100,17.0
Malik Washington,WR,MIA,215.0,6,100,6.0
Denzel Boston,WR,CLE,215.2,8,100,8.0
Cooper Kupp,WR,SEA,215.3,26,100,26.0
KC Concepcion,WR,CLE,215.7,15,100,15.0
Jerry Jeudy,WR,CLE,215.8,5,100,5.0
Kenyon Sadiq,TE,NYJ,216.5,2,100,2.0
Jalen Coker,WR,CAR,216.7,3,100,3.0
Andrei Iosivas,WR,CIN,216.8,5,100,5.0
Jawhar Jordan,RB,HOU,217.0,1,100,1.0
Kirk Cousins,QB,LV,217.0,1,100,1.0
Germie Bernard,WR,PIT,217.7,3,100,3.0
Olamide Zaccheaus,WR,ATL,219.0,3,100,3.0
Xavier Hutchinson,WR,HOU,220.0,1,100,1.0
Terrance Ferguson,TE,LAR,,0,100,0.0
Michael Mayer,TE,LV,,0,100,0.0
Cade York,K,NYJ,,0,100,0.0
Dawson Knox,TE,BUF,,0,100,0.0
AJ Barner,TE,SEA,,0,100,0.0
Charlie Kolar,TE,LAC,,0,100,0.0
Evan Engram,TE,DEN,,0,100,0.0
Andre Szmyt,K,CLE,,0,100,0.0
Ben Sauls,K,NYG,,0,100,0.0
Chig Okonkwo,TE,WAS,,0,100,0.0
Darnell Washington,TE,PIT,,0,100,0.0
Theo Johnson,TE,NYG,,0,100,0.0
Greg Dulcich,TE,MIA,,0,100,0.0
Tyler Higbee,TE,LAR,,0,100,0.0
Darren Waller,TE,CAR,,0,100,0.0
Jonnu Smith,TE,FA,,0,100,0.0
Washington,DST,Washington,,0,100,0.0
Dallas,DST,Dallas,,0,100,0.0
Nick Vannett,TE,SEA,,0,100,0.0
Cole Kmet,TE,CHI,,0,100,0.0
Josh Oliver,TE,MIN,,0,100,0.0
Ryan Flournoy,WR,DAL,,0,100,0.0
Dominic Zvada,K,NYG,,0,100,0.0
Dontayvion Wicks,WR,PHI,,0,100,0.0
Bauer Sharp,TE,TB,,0,100,0.0
Rivaldo Fairweather,TE,ARZ,,0,100,0.0
Moliki Matavao,TE,NO,,0,100,0.0
Feleipe Franks,TE,CAR,,0,100,0.0
Lawrence Cager,TE,WAS,,0,100,0.0
Lucas Krull,TE,DEN,,0,100,0.0
Isaac TeSlaa,WR,DET,,0,100,0.0
Austin Hooper,TE,ATL,,0,100,0.0
Noah Fant,TE,NO,,0,100,0.0
Noah Gray,TE,KC,,0,100,0.0
Brock Wright,TE,DET,,0,100,0.0
Christian Kirk,WR,SF,,0,100,0.0
Chris Bell,WR,MIA,,0,100,0.0
Calvin Austin III,WR,NYG,,0,100,0.0
Daniel Bellinger,TE,TEN,,0,100,0.0
Will Kacmarek,TE,MIA,,0,100,0.0
Jake Tonges,TE,SF,,0,100,0.0
Davis Allen,TE,LA,,0,100,0.0
Elijah Arroyo,TE,SEA,,0,100,0.0
Eli Raridon,TE,NE,,0,100,0.0
Ben Sinnott,TE,WAS,,0,100,0.0
Adam Trautman,TE,DEN,,0,100,0.0
Ted Hurst,WR,TB,,0,100,0.0
Eli Stowers,TE,PHI,,0,100,0.0
John Bates,TE,WAS,,0,100,0.0
Nate Boerkircher,TE,JAC,,0,100,0.0
Tommy Tremble,TE,CAR,,0,100,0.0
Mitchell Evans,TE,CAR,,0,100,0.0
Marlin Klein,TE,HOU,,0,100,0.0
Jeremy Ruckert,TE,NYJ,,0,100,0.0
Ben Sims,TE,MIA,,0,100,0.0
Grant Calcaterra,TE,PHI,,0,100,0.0
Tory Horton,WR,SEA,,0,100,0.0
Malik Benson,WR,LV,,0,100,0.0
Cade Stover,TE,HOU,,0,100,0.0
Ja'Tavion Sanders,TE,CAR,,0,100,0.0
Tank Dell,WR,HOU,,0,100,0.0
KaVontae Turpin,WR,DAL,,0,100,0.0
Darius Slayton,WR,NYG,,0,100,0.0
Ashton Dulin,WR,IND,,0,100,0.0
Charlie Woerner,TE,ATL,,0,100,0.0
Carnell Tate,WR,TEN,,0,100,0.0
Marvin Mims Jr.,WR,DEN,,0,100,0.0
Marquise Brown,WR,PHI,,0,100,0.0
Pat Bryant,WR,DEN,,0,100,0.0
Xavier Legette,WR,CAR,,0,100,0.0
Nate Adkins,TE,DEN,,0,100,0.0
Antonio Williams,WR,WAS,,0,100,0.0
Jackson Hawes,TE,BUF,,0,100,0.0
Jahan Dotson,WR,ATL,,0,100,0.0
Hunter Long,TE,JAC,,0,100,0.0
Foster Moreau,TE,HOU,,0,100,0.0
Emmett Johnson,RB,KC,,0,100,0.0
Seth McGowan,RB,IND,,0,100,0.0
Brashard Smith,RB,KC,,0,100,0.0
Demond Claiborne,RB,MIN,,0,100,0.0
Kyle Juszczyk,RB,SF,,0,100,0.0
Kaytron Allen,RB,WAS,,0,100,0.0
LeQuint Allen,RB,JAC,,0,100,0.0
Jaylin Noel,WR,HOU,,0,100,0.0
Najee Harris,RB,NYG,,0,100,0.0
Michael Burton,RB,CLE,,0,100,0.0
Adam Randall,RB,BAL,,0,100,0.0
Andrew Beck,RB,NYJ,,0,100,0.0
Chimere Dike,WR,TEN,,0,100,0.0
Ricky White III,WR,SEA,,0,100,0.0
Garrett Greene,WR,TB,,0,100,0.0
Isaiah Hodgins,WR,NYG,,0,100,0.0
Dayton Wade,WR,BLT,,0,100,0.0
Tyler Scott,WR,LA,,0,100,0.0
Kevin Austin Jr.,WR,NO,,0,100,0.0
Jared Wayne,WR,HST,,0,100,0.0
Jordan Watkins,WR,SF,,0,100,0.0
Michael Bandy,WR,DEN,,0,100,0.0
Tanner Hudson,TE,CIN,,0,100,0.0
Josh Whyle,TE,GB,,0,100,0.0
Oscar Delp,TE,NO,,0,100,0.0
Kimani Vidal,RB,LAC,,0,100,0.0
Joe Royer,TE,CLV,,0,100,0.0
Cyrus Allen,WR,KC,,0,100,0.0
Keon Coleman,WR,BUF,,0,100,0.0
Drew Sample,TE,CIN,,0,100,0.0
Mo Alie-Cox,TE,IND,,0,100,0.0
Luke Schoonmaker,TE,DAL,,0,100,0.0
Max Klare,TE,LA,,0,100,0.0
Elijah Higgins,TE,ARZ,,0,100,0.0
Jack Bech,WR,LV,,0,100,0.0
Tip Reiman,TE,ARZ,,0,100,0.0
Matthew Hibner,TE,BLT,,0,100,0.0
Mack Hollins,WR,NE,,0,100,0.0
Kalif Raymond,WR,CHI,,0,100,0.0
Sean Tucker,RB,TB,,0,100,0.0
Demarcus Robinson,WR,SF,,0,100,0.0
Josh Palmer,WR,BUF,,0,100,0.0
Sam Roush,TE,CHI,,0,100,0.0
Durham Smythe,TE,BLT,,0,100,0.0
Brevyn Spann-Ford,TE,DAL,,0,100,0.0
Seydou Traore,TE,MIA,,0,100,0.0
