year,timeframe,name,position,nfl_team,opp,bye_week,rost_pct,fpts
2026,restofseason,DeAngelo Hardy,WR,BAL,@IND,13,1.0,0.0
2026,restofseason,Tyler Moore,TE,IND,BAL,13,1.0,0.0
2026,restofseason,Dustin Crum,QB,KC,DEN,5,1.0,0.0
2026,restofseason,Will Shipley,RB,PHI,WAS,10,1.0,0.0
2026,restofseason,Brett Gabbert,QB,MIA,@LV,6,1.0,0.0
2026,restofseason,Chandler Brayboy,WR,JAC,CLE,7,1.0,0.0
2026,restofseason,Brandon Hayes,WR,PHI,WAS,10,1.0,0.0
2026,restofseason,Sean Modster,WR,BAL,@IND,13,1.0,0.0
2026,restofseason,Demario Richard,RB,ATL,@PIT,11,1.0,0.0
2026,restofseason,Jack Stoll,TE,CLE,@JAC,11,1.0,0.0
2026,restofseason,Braydon Johnson,WR,BUF,@HOU,7,0.0,0.0
2026,restofseason,Toa Taua,RB,CLE,@JAC,11,1.0,0.0
2026,restofseason,Blake Watson,RB,TEN,NYJ,9,1.0,0.0
2026,restofseason,Briley Moore-McKinney,TE,TEN,NYJ,9,1.0,0.0
2026,restofseason,Reggie Roberson Jr.,WR,TEN,NYJ,9,1.0,0.0
2026,restofseason,Treyton Welch,TE,NO,@DET,8,1.0,0.0
2026,restofseason,C.J. Ham,RB,MIN,GB,6,1.0,0.0
2026,restofseason,DeAndre Torrey,RB,PHI,WAS,10,1.0,0.0
2026,restofseason,Sam Scott,RB,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Jamal Agnew,WR,ATL,@PIT,11,1.0,0.0
2026,restofseason,Cody Hardy,TE,NO,@DET,8,1.0,0.0
2026,restofseason,Jake Haener,QB,NYG,DAL,8,1.0,0.0
2026,restofseason,Drew Belcher,TE,WAS,@PHI,7,1.0,0.0
2026,restofseason,Jeremy McNichols,RB,WAS,@PHI,7,1.0,0.0
2026,restofseason,Tre Watson,TE,MIA,@LV,6,1.0,0.0
2026,restofseason,Ronnie Bell,WR,LV,MIA,13,1.0,0.0
2026,restofseason,Rashon Ceaser,WR,TEN,NYJ,9,1.0,0.0
2026,restofseason,Benny LeMay,RB,CLE,@JAC,11,1.0,0.0
2026,restofseason,Matt Lauter,TE,MIN,GB,6,1.0,0.0
2026,restofseason,Kole Taylor,TE,CIN,TB,6,1.0,0.0
2026,restofseason,Jay Rome,TE,PIT,ATL,9,0.0,0.0
2026,restofseason,Elijah Collins,RB,CIN,TB,6,0.0,0.0
2026,restofseason,Tre Walker,WR,BUF,@HOU,7,1.0,0.0
2026,restofseason,Rushawn Baker,RB,NE,@SEA,11,1.0,0.0
2026,restofseason,Austin Trammell,WR,JAC,CLE,7,1.0,0.0
2026,restofseason,Damon Bankston,RB,NYG,DAL,8,1.0,0.0
2026,restofseason,Aaron Bailey,WR,BAL,@IND,13,1.0,0.0
2026,restofseason,DeWayne McBride,RB,MIN,GB,6,1.0,0.0
2026,restofseason,Austin Willis,WR,DET,NO,6,0.0,0.0
2026,restofseason,Christian Wade,RB,BUF,@HOU,7,1.0,0.0
2026,restofseason,Jarquez Hunter,RB,MIA,@LV,6,1.0,0.0
2026,restofseason,Noah Cain,RB,CIN,TB,6,1.0,0.0
2026,restofseason,Mac Hippenhammer,WR,CIN,TB,6,0.0,0.0
2026,restofseason,C.J. Johnson,WR,SEA,NE,11,1.0,0.0
2026,restofseason,Johnny Mundt,TE,PHI,WAS,10,1.0,0.0
2026,restofseason,Greg Dortch,WR,DET,NO,6,1.0,0.0
2026,restofseason,Mason Kinsey,WR,TEN,NYJ,9,1.0,0.0
2026,restofseason,Reggie Brown,WR,KC,DEN,5,1.0,0.0
2026,restofseason,Joel Wilson,TE,TEN,NYJ,9,1.0,0.0
2026,restofseason,Darius Cooper,WR,PHI,WAS,10,1.0,0.0
2026,restofseason,Max Borghi,RB,PIT,ATL,9,1.0,0.0
2026,restofseason,Pro Wells,TE,CIN,TB,6,0.0,0.0
2026,restofseason,Trayvon Rudolph,WR,MIN,GB,6,1.0,0.0
2026,restofseason,Johnny King,WR,PHI,WAS,10,0.0,0.0
2026,restofseason,Carson Steele,RB,PHI,WAS,10,1.0,0.0
2026,restofseason,Chris Smith,RB,SEA,NE,11,1.0,0.0
2026,restofseason,J.C. Copeland,RB,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Kendrick Law,WR,DET,NO,6,1.0,0.0
2026,restofseason,Nate Stanley,QB,MIN,GB,6,1.0,0.0
2026,restofseason,Jonathan Brady,WR,LV,MIA,13,1.0,0.0
2026,restofseason,Taylor Heinicke,QB,LAC,ARI,7,1.0,0.0
2026,restofseason,Anthony Smith,WR,DAL,@NYG,14,1.0,0.0
2026,restofseason,Xavier Guillory,WR,BAL,@IND,13,1.0,0.0
2026,restofseason,Behren Morton,QB,NE,@SEA,11,1.0,0.0
2026,restofseason,Quintez Cephus,WR,BUF,@HOU,7,1.0,0.0
2026,restofseason,Charlie Taumoepeau,TE,DET,NO,6,1.0,0.0
2026,restofseason,Maximilian Mang,TE,NYG,DAL,8,1.0,0.0
2026,restofseason,Haynes King,QB,CAR,CHI,5,1.0,0.0
2026,restofseason,Josh Vann,WR,CAR,CHI,5,1.0,0.0
2026,restofseason,Tyler Scott,WR,LAR,SF,11,1.0,0.0
2026,restofseason,Chase Cota,WR,CLE,@JAC,11,1.0,0.0
2026,restofseason,Christian Kirk,WR,SF,@LAR,8,5.0,0.0
2026,restofseason,Lewis Bond,WR,HOU,BUF,8,1.0,0.0
2026,restofseason,Calvin Austin III,WR,NYG,DAL,8,1.0,0.0
2026,restofseason,Oscar Cardenas,TE,ARI,@LAC,14,1.0,0.0
2026,restofseason,Ra'Shaun Henry,WR,SEA,NE,11,0.0,0.0
2026,restofseason,Eric Saubert,TE,SEA,NE,11,1.0,0.0
2026,restofseason,Alize Mack,TE,TEN,NYJ,9,1.0,0.0
2026,restofseason,Darrin Hall,RB,PIT,ATL,9,1.0,0.0
2026,restofseason,Kai Locksley,WR,MIA,@LV,6,1.0,0.0
2026,restofseason,Bryson Green,WR,ARI,@LAC,14,1.0,0.0
2026,restofseason,Ray Davis,RB,BUF,@HOU,7,22.0,0.0
2026,restofseason,JuJu Smith-Schuster,WR,NYG,DAL,8,1.0,0.0
2026,restofseason,Kaden Prather,WR,GB,@MIN,11,1.0,0.0
2026,restofseason,E.J. Williams Jr.,WR,LV,MIA,13,1.0,0.0
2026,restofseason,Emani Bailey,RB,CAR,CHI,5,1.0,0.0
2026,restofseason,Jerand Bradley,WR,LAC,ARI,7,1.0,0.0
2026,restofseason,Lawrance Toafili,RB,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Ricky Pearsall,WR,SF,@LAR,8,5.0,0.0
2026,restofseason,Jimmy Garoppolo,QB,LAR,SF,11,1.0,0.0
2026,restofseason,Izaiah Gathings,TE,KC,DEN,5,1.0,0.0
2026,restofseason,Kendall Milton,RB,CIN,TB,6,1.0,0.0
2026,restofseason,Thomas Yassmin,TE,GB,@MIN,11,1.0,0.0
2026,restofseason,Nick Westbrook-Ikhine,WR,IND,BAL,13,1.0,0.0
2026,restofseason,Charlie Jones,WR,NYG,DAL,8,1.0,0.0
2026,restofseason,Tyler Johnson,WR,DAL,@NYG,14,1.0,0.0
2026,restofseason,Luke Grimm,WR,LAC,ARI,7,1.0,0.0
2026,restofseason,Armani Rogers,TE,BUF,@HOU,7,1.0,0.0
